职位名称,地区,薪水,标签,能力要求,公司名字,公司介绍,福利待遇,职位描述,企业类型,工作地址,详情链接
web前端 开发工程师,杭州·余杭区·未来科技城,9-14K·13薪,"1-3年,本科",TypeScriptReactGIT,云门道,杭州云门道科技有限公司（以下简称云门道）成立于2018年1月，2019年6月获得云门道商标注册证。自创立初始便将云门道品牌定位于以基于流动人口管理为核心出发点的智慧物联解决方案提供商和运营服务商，以技术创新为基础，提供人、车、房、物的系统软件、硬件终端、智慧服务等综合管理解决方案，为城市运营、企业管理创造价值。目前基于居住场景的流动人口智能化管理的智能小区全栈项目融合硬件产品、后台系统、App/小程序、数据分析平台等板块，我们致力于把物联世界带入每个组织，每个机构，构建万物互联的智能世界。 云门道在通信网络、IT、智能终端、无线传输、智能感知、智慧物联等领域为客户提供有竞争力、安全可信赖的产品、解决方案与服务，与生态伙伴开放合作，持续为客户创造价值，激发组织创新。云门道围绕客户需求持续创新，加大研究投入，厚积薄发，每一次的迭代升级都对行业的发展和变革有着积极促进作用。 云门道的研发人员占比超70%，自2018年推出首台自主研发的实名安全智能锁以来，一直持续加大研发投入和不断致力于技术创新，每年以18%左右的销售收入投入研发。基于流动人口管理的核心出发点，公司持续探索新兴业务，延展了智慧物业、智慧消防、智慧园区、智慧酒店、智慧校园、智慧社区等新兴综合物联业务。,员工旅游，定期体检，年终奖，五险一金，带薪年假，节日福利,你将有机会： - 支撑IoT在具体行业场景（如公寓、社区、酒店、安防等）解决方案的落地。 - 多行业不同场景的技术实现和业务挑战。 职位描述： - 负责SaaS业务平台前端的开发，包括中后台，跨端以及工程化等方向 职位要求： - 良好的计算机原理与计算机网络相关知识。 - 熟悉前端相关技术。 - 熟悉React、React Hook、TS及其生态圈。 - 热衷技术、追究原理、探究最佳实践。 - 具备良好的沟通能力和优秀的团队协作精神。 加分项： - 接触过后端，从后到前的相关技术有一定的自我思考。 - 积极参与开源项目并贡献过代码，附上Github链接。 - 乐于总结与分享，附上自己技术博客链接,其他有限责任公司,杭州余杭区杭州云门道科技有限公司8幢6楼,https://www.zhipin.com/job_detail/d1ab195440f5f6cf1nJ_3Ny1FFBX.html?lid=1ykZsLUMo0g.search.5&securityId=3YBVlJjaCBMlr-a1mFFhWToyv7RLfXUO8x64wbuN4Cr-DYT2pIvFrBgsv3hOTa_zQMcmQpGKG9K3LvjFfwcMF71xyAOmvhqu8RdrUezO__n3zNTWWus~&sessionId=
react web前端,南京,11-15K·13薪,"3-5年,本科",ReactNode.jsReact.JS前端开发移动端小程序,小拉科技,江苏小拉科技凭借行业积累和技术专长，致力于为汽车能源，金融，电力，环保，公安，电信等多个行业提供软件和服务外包以及解决方案。  我们的愿景是：秉承 超越期待，尽善尽美的服务理念，为客户提供优质，专业，高效的服务，为优秀人才提供一个开放，平等，机会丰富的工作平台，帮助他们实现自身的价值。我们的核心价值观是：专业，品质，创新，勤奋。,带薪年假，年终奖，加班补助，节日福利，五险一金,"职位要求: 1. 三到五年以上前端开发经验，使用HTML5、CSS3和Javascript跨浏览器开发经验 2. 有多个Web系统开发实际经验，有互联网电商网站经验优先 3. 精通React、VUE开发，熟练掌握各种插件的优化和开发，熟悉其他前端主流框架 4. 有丰富的前后端团队合作经验，精通前后端分离架构，能与后端工程师高效配合完成项目开发 5. 熟练掌握并运用nodejs，对nodejs的核心原理有一定了解 6. 熟练掌握至少一种前端代码质量检测方法，对编写的代码有较高的标准和要求 7. 有良好的团队合作精神,有责任感,有较好的沟通能力,能承受高强度的工作任务",有限责任公司（自然人投资或控股）,南京雨花台区云密城A栋11楼,https://www.zhipin.com/job_detail/80c99c6b8d8503551nV509i8F1RX.html?lid=1ykZsLUMo0g.search.6&securityId=OpKD01oZJya9G-n1shgVAOGA3is6RdKLzteSIldAPh4JzeyK3KhRsajs0j0w3wcWhalJeoEYNRFRJWeC2B9effsuFnrOBdtBBtGJaQ_3G8_4JPy-&sessionId=
web前端 H5开发,哈尔滨·南岗区·哈西,6-10K,"1-3年,学历不限",javascriptnode.jsHTML,众杰网络,"哈尔滨众杰网络由一批具有IT互联网相关服务背景的网络精英所组成，全心致力于企事业单位的互联网应用开发服务和移动电子商务的应用及推广,专注研究互联网行业5余年,专精于高品质互联网服务及整合营销推广,同时也拥有实力强劲的高端托管营销团队和顶尖技术团队，多年来活跃在与互联网服务、营销产业相关的高端品牌网站建设推广、手机ＡＰＰ应用开发、微信公众号及小程序应用开发、移动电子商务应用开发、品牌网络造势宣传、企业信息化管理的各个领域。我们一直致力于建立更多更好的互联网品牌形象，提供权威专业的互联网技术服务,并为客户实施高标准的营销策划及解决方案，创造真正意义上的、最好的、最专业的互联网技术研发及营销推广服务提供商，为改变传统互联网服务和营销观念而不懈努力！ 服务宗旨：根据客户的实际情况与需求出发，以专业的技术水平以及独到的营销理念和精工细作的专业精神、人性化的服务理念,帮助各个层次上不同类型的企、事业单位根据其不同的商业发展目标与需求，定制最佳的企业网络应用平台、移动互联网服务和移动电子商务项目的解决方案和营销托管服务。并能够根据客户的服务需求，结合市场需求提供长期的技术支持、营销策划和解决方案。从市场的角度和客户的需求出发，帮助企业及其产品树立良好的品牌形象、拓展市场空间创造竞争优势，从而提升企业的无形资产。",,"WEB前端，H5开发 岗位职责 1. 负责web前端页面代码设计及效果； 2. 优化用户视觉体验及完善页面设计流程； 3. 熟练div+css页面布局； 4. 熟练掌握JS，node.js； 5. 会主流前端框架 VUE 6. 掌握H5全栈开发技术。 7. 熟悉微信小程序开发。 岗位要求： 1. 具有独立工作的能力，高度的工作责任感, 工作认真、踏实、细心 2. 有高品质的审美能力和深厚的美术功底 3. 对网页布局有相当的设计、规划能力，能准确把握网站的整体风格和色彩的设计 4. 熟练Hbuider等网页设计和前端开发编辑器框架。 5.熟练html、html5语法，精通div+css网页布局 6. 对网站的易用性、可用性及用户体验有深刻理解",有限责任公司（自然人独资）,哈尔滨南岗区华润置地公馆售楼处3号楼,https://www.zhipin.com/job_detail/3366008f7028f5951nJ-29q4F1M~.html?lid=1ykZsLUMo0g.search.7&securityId=Maa3C4EAGvktJ-X1qr1cl_AgTqXQ06h9JSrmx7OjjZhLOH-K99wWbVtVR2rzlP5VqNXnNpkRoHDiFcsH3oThRxAy2AUlxmkSLTqb5BZMeXOocDZ8&sessionId=
Web 前端,深圳·南山区·前海,20-40K·14薪,"3-5年,本科",JavaScriptReactNode.js,AfterShip,"AfterShip 成立于 2012 年，是一个服务国际电商赛道的 B2B SaaS 平台，致力于打造最好的自动化平台，帮助全球电商商家成功。公司旗下有 AfterShip Tracking（物流查询）, Email（邮件营销）, Returns（退换货管理）, Shipping（多物流商发货）, Protection（货损保险）, Green（碳足迹计算）, EDD（预测物流到达时间）等 SaaS 产品矩阵，涵盖售前售后各个环节，以智能化的 SaaS 解决方案为全球超过 14,000 家企业快速成长提供支持。  2021 年获得来自老虎环球基金 4.3 亿元人民币的 B 轮融资；是少数受国际资本市场认可、业务高速发展的科技公司。  目前，全球已有包括 eBay、Etsy、Wish、Shopee 等国际电商平台，Anker、Watsons、Fresh、Oneplus、EcoFlow 等 14,000 多家企业，都在使用 AfterShip 提供的智能化 SaaS 服务解决方案。  AfterShip  创建之初就着眼于国际市场，目前已建立了一支高效、极客文化浓厚的国际化团队，全球拥有 8 个办公室，团队规模超过 400 人，分布在北美、欧洲、亚洲等地，团队成员来自全球不同国家的 20 多个城市。  为什么加入我们 1. 朝阳行业的龙头企业：B2B 企业级系统，国际性 SaaS 平台，海外知名企业，细分领域领跑者。 2. 崇尚效率的极客文化：拥抱开源技术，实践敏捷开发，崇尚通过工具和自动化来解决问题。 3. 开放高效的办公体验：360° 全景落地窗，开放式工位，可升降办公桌，高效智能会议系统。 4. 专业贴心的成长支持：A-Geek School 多维度培训，设有学习基金，可报销书籍课程费用。  我们的福利待遇 1、公司提供 MacBook 与 LG 4K 显示器； 2、全额工资购买五险一金，补充购买商业险； 3、每人每月 100 元团队聚餐基金（可月累计）； 4、购买书籍、在线课程均可报销（不限类别）； 5、每天下午茶、加班补贴以及加班打车福利； 6、每周羽毛球，不定期生日会或者团队聚餐； 7、每年不定期进行正规体检机构的健康检查； 8、支持使用可以帮助工作做得更好的付费工具。",年终奖，五险一金，零食下午茶，员工旅游，餐补，节日福利，带薪年假，学习基金,"if (your_passions.includes('coding')) {     switch(your_stacks) {         case 'Typescript':         case 'React':         case 'Node.js':         case 'Micro frontend':         case 'Headless':             console.log('Join AfterShip');             break;     } } 岗位职责 1、负责开发公司各平台系统的前端和产品交互功能； 2、负责系统的 SLA 代码维护、迭代更新，保证任务质量和交付及时性； 3、负责编写相关的技术文档、单元测试，对产品质量负责。 岗位要求 1、统招本科及以上学历，具备英语读写能力； 2、熟悉 Git/GitHub，通信协议 TCP/HTTP 及 RESTful 标准； 3、3年及以上前端开发经验，熟悉 React/Vue/Angular 框架，掌握 Redux, gulp 及 webpack，能独立开发常用组件； 4、熟悉 TypeScript 或其它静态类型语言； 5、熟练编写语义化的 HTML，模块化的 CSS 及 Sass 语法。 加分项 1、有 CI/CD 自动化测试经验； 2、有使用 Docker、Kubernetes、AWS 或 GCP 云计算经验； 3、有写 Blog 的习惯，活跃技术社区，参与开源项目等； 4、有代码洁癖，对代码精益求精，对技术有极客热情； 5、有软件著作权申请，有专利发明申请。 为什么加入我们 1、高速发展：公司处于快速发展期，规模及营收每年持续快速增长； 2、朝阳行业：国际电商 SaaS 服务赛道，国际一线投资机构加持，行业大佬背书； 3、多元文化：团队来自全球 20 多个不同城市，国际化视角、扁平化管理； 4、极客氛围：拥抱开源技术，实践敏捷开发，崇尚通过工具和自动化来解决问题； 5、特色福利：学习基金、 一对一帮带、内部商城、提供 MacBook 及可升降办公桌。",有限责任公司（台港澳法人独资）,深圳南山区前海嘉里中心4楼,https://www.zhipin.com/job_detail/0dbc41a0d47b93031HR72d2_F1ZX.html?lid=1yaOWkaUKpP.search.1&securityId=vuslK4JCCQB0H-A1S6ZQFhqmTKf2HKYpJ2fLQCRP-iq7aY0jdK-3aJzxPlw93r24wTfmW2mc_aL1NZItjNDw3vPBnpDjpvTwI1LEegu9FTTYtYnf&sessionId=
WEB 前端,杭州·滨江区·浦沿,8-12K,"1-3年,大专",vue.jsDIV+CSStypescript,君南科技,杭州君南科技有限公司创立于2014年3月（即原三新科技2004年-2014年），是一家专业从事电力行业审计信息化建设及咨询服务、企业互联网商业应用集成的软件开发高新技术企业。   公司始终坚持以“共享先进理念，共创企业价值”为核心价值观，提炼出自成一体的企业文化和企业发展观，同时，公司也注重对员工职业技能的教育与培训，通过项目研发、实施，以及内部的培训，打造出一支具有强大凝聚力、朝气蓬勃的协作团队。  我们，期待您的加入……,,负责PC端项目前台页面、移动端项目所需页面的开发;        一年以上 Web 前端工作经验;         熟悉HTML5、CSS3、JS，有较好的页面布局及JS编程能力；         应具备较强的责任心和细节审美能力，能忠实还原现UI设计表现；         熟悉各种前端调试工具，熟悉JS性能优化;         对原生 JavaScript 有较深的掌握，熟练掌握 ES6 及优秀第三方工具库；（ElementUI、iView 或 AntD 等）         熟练掌握Vue及其主要生态（必备），具有实际项目经验，熟知其运行原理。         熟悉前端模块化开发方案，掌握 Webpack 等前端构建工具，能够自己搭建前端构建环境；         对Web前端技术有强烈兴趣，好学习、爱钻研，愿意寻求较优的方法解决问题；         个性乐观开朗，善于沟通，具团队合作精神。 公司提供五险一金、双休、节假日福利、员工旅游、年终奖等福利,有限责任公司（自然人投资或控股）,杭州滨江区亚科中心A座22楼2201-04,https://www.zhipin.com/job_detail/c4ae59de7fc6b0661HF609m8E1U~.html?lid=1yaOWkaUKpP.search.2&securityId=OX0bKk2lZThAt-313yZUJY2vAUIlOwuscCKDkTMIBQNGv_GTlRmOcOBJa0O1rTxoeoUvqGGpSagYUPDTsHhxeuPpp9zCPegxXLPkXmhS_PoXGz9S&sessionId=
HTML5 前端,澄迈,6-10K,"1-3年,大专",前端开发HTMLCSSJavaScriptCSS3HTML5,决胜科技,,,工作职责: 1、按设计实现软件前端样式、布局、交互等方面的开发任务； 2、与后端开发进行良好的合作，进行协同开发； 任职资格: 1、具有1年以上前端开发经验； 2、了解常用的数据格式和如JSON XML 和交互协议； 3、精通HTML5、CSS3、JavaScript相关标准和实现； 4、掌握vue、jQuery框架等主流的js框架； 5、熟悉前端性能调优、前端安全处理。能解决浏览器的兼容性问题； 6、对互联网新产品新技术有着良好的敏感度，对交互体验有较为深入的了解，有分享和总结的习惯，有强烈的团队意识和执行力； 7、具有Android开发经验更佳，薪资可+,有限责任公司（自然人投资或控股）,澄迈海南生态软件园沃克公园(南门)8810,https://www.zhipin.com/job_detail/2ae2aca4166198fe1nJz09-5EVtT.html?lid=1yaOWkaUKpP.search.3&securityId=CLt5XWD3Ecz5k-o1lHoWdAzctFlYNZ_zdw2P3ISKpHUFIerJuhhUN_WMczx82YCa3cu9FMlXAZtoixwrdeREyDVCjkKxvU-JH4O0yWTA9DPWxGALI8M~&sessionId=
前端 / Node.js 工程师,北京·海淀区·中关村,15-30K·13薪,"在校/应届,本科",HTMLTypeScriptLinux分布式技术CSSWeb端,智融云河,我们是一家年轻活力，快速成长的高科技开源技术公司，围绕北大数瑞开源区块链平台，致力于打造国际顶尖的分布式账本、智能合约、大数据等底层核心基础设施技术与标准，并联合广大合作伙伴打造基于平台的开源应用生态。      公司团队脱胎于北京大学顶尖研究所，技术氛围浓厚，极富创新精神和极客范，深耕数联网、分布式系统、分布式账本技术、智能合约、隐私计算、大数据等领域。团队不乏业界大咖、技术大牛、顶尖高校硕博士等，在这里可以和身边的大牛们并肩战斗，共同成长，学习并参与到诸多领域前沿技术的研发。      我们的客户和合作伙伴涵盖国家部委，各省市政府部门，大型国企集团（中国电子，航天科工等），民企等。公司正在快速成长期，个人成长空间极大，当前也是绝佳的锻炼机会。  亮点：北大团队 开源 气氛好 极客 大牛多 餐补 零食福利 交通便捷 加班打车,年终奖，零食下午茶，五险一金,【公司介绍】     我们是一家年轻活力，快速成长的高科技创业公司，致力于打造国际顶尖的大数据与分布式账本底层基础设施技术与标准。     公司团队脱胎于北京大学顶尖研究所，技术氛围浓厚，深耕数联网、分布式系统、分布式账本技术、隐私计算、大数据等领域。团队顶尖高校硕博士比例占90%以上，在这里可以和身边优秀的同学们并肩战斗，互相学习，共同成长。     我们的客户和合作伙伴涵盖国家部委，各省市政府部门，大型国企集团（中国电子，航天科工等），民企等。公司正在快速成长期，个人成长空间极大，当前也是绝佳的锻炼机会。 亮点：气氛好 大神多 餐补 零食福利 交通便捷 加班打车 【职位描述】 - 负责产品 Web 前端与 Node.js 后端的开发与维护。 - 与产品经理、设计紧密配合，提升产品的用户体验。 - 负责产品相关文档的撰写工作。 - 负责 Web 与 Node.js 技术产品解决方案的发展规划和技术架构。 - 提升团队的技术实力和影响力。 【职位要求】 - 计算机相关专业大专及以上学历，3年以上 Web 前端与 Node.js 后端开发与产品架构经验；能用自身的经历阐述，技术是如何服务于你的业务的。 - 精通 HTML、JavaScript、CSS、Node.js 等 Web 前端基本开发技术和 W3C 标准，，熟悉 Web App 架构和布局。 - 精通 JavaScript 与 TypeScript 语言和设计模式，对 Vue 框架有深入理解。 - 熟悉用户交互设计理论，能够分析并改善产品的用户体验。 - 精通 Node.js 后端开发与架构设计，对至少一个主流框架有深入理解。 - 熟悉 REST 与 RPC API 开发。 - 熟悉 SQL 语言与 RDBMS 数据库，了解 Redis 等 NoSQL 数据库。 - 熟悉 Linux、基本操作命令、shell 脚本编写。 - 熟悉基本网络与 Web 协议。 - 熟悉团队开发流程，熟练使用 Git 进行代码管理。 - 熟悉数据结构和常用算法。 - 具备工程化的开发思维，具备较好的问题分析与解决能力。 - 善于使用工具进行提效。 - 强大的自驱力，进取心和技术落地能力。 - 较强的学习能力和学习热情，对 Web 前后端前沿技术感兴趣。 - 思路清晰，具备良好的沟通能力和团队协作精神，善于学习、总结，乐于分享。 【加分项】 - 熟悉 Web 前后端性能调优、数据库性能调优、底层性能调优等。 - 熟悉微服务架构。 - 熟悉 Docker、Kubernetes、Salt、Promethues、Grafana 等部署运维相关技术。 - 熟悉 SAAS/SCSS 技术。 - 精通数据结构和算法设计。 - 掌握 Go、Java、Python、C/C++ 中至少一种编程语言。【公司介绍】     我们是一家年轻活力，快速成长的高科技创业公司，致力于打造国际顶尖的大数据与分布式账本底层基础设施技术与标准。     公司团队脱胎于北京大学顶尖研究所，技术氛围浓厚，深耕数联网、分布式系统、分布式账本技术、隐私计算、大数据等领域。团队顶尖高校硕博士比例占90%以上，在这里可以和身边优秀的同学们并肩战斗，互相学习，共同成长。     我们的客户和合作伙伴涵盖国家部委，各省市政府部门，大型国企集团（中国电子，航天科工等），民企等。公司正在快速成长期，个人成长空间极大，当前也是绝佳的锻炼机会。 亮点：气氛好 大神多 餐补 零食福利 交通便捷 加班打车 【职位描述】 - 负责产品 Web 前端与 Node.js 后端的开发与维护。 - 与产品经理、设计紧密配合，提升产品的用户体验。 - 负责产品相关文档的撰写工作。 - 负责 Web 与 Node.js 技术产品解决方案的发展规划和技术架构。 - 提升团队的技术实力和影响力。 【职位要求】 - 计算机相关专业大专及以上学历，3年以上 Web 前端与 Node.js 后端开发与产品架构经验；能用自身的经历阐述，技术是如何服务于你的业务的。 - 精通 HTML、JavaScript、CSS、Node.js 等 Web 前端基本开发技术和 W3C 标准，，熟悉 Web App 架构和布局。 - 精通 JavaScript 与 TypeScript 语言和设计模式，对 Vue 框架有深入理解。 - 熟悉用户交互设计理论，能够分析并改善产品的用户体验。 - 精通 Node.js 后端开发与架构设计，对至少一个主流框架有深入理解。 - 熟悉 REST 与 RPC API 开发。 - 熟悉 SQL 语言与 RDBMS 数据库，了解 Redis 等 NoSQL 数据库。 - 熟悉 Linux、基本操作命令、shell 脚本编写。 - 熟悉基本网络与 Web 协议。 - 熟悉团队开发流程，熟练使用 Git 进行代码管理。 - 熟悉数据结构和常用算法。 - 具备工程化的开发思维，具备较好的问题分析与解决能力。 - 善于使用工具进行提效。 - 强大的自驱力，进取心和技术落地能力。 - 较强的学习能力和学习热情，对 Web 前后端前沿技术感兴趣。 - 思路清晰，具备良好的沟通能力和团队协作精神，善于学习、总结，乐于分享。 【加分项】 - 熟悉 Web 前后端性能调优、数据库性能调优、底层性能调优等。 - 熟悉微服务架构。 - 熟悉 Docker、Kubernetes、Salt、Promethues、Grafana 等部署运维相关技术。 - 熟悉 SAAS/SCSS 技术。 - 精通数据结构和算法设计。 - 掌握 Go、Java、Python、C/C++ 中至少一种编程语言。 职位招聘1人,有限责任公司（自然人独资）,北京海淀区新中关大厦B座11层1107,https://www.zhipin.com/job_detail/65ed036473ad0d481n1y3dS7GFtQ.html?lid=1yaOWkaUKpP.search.4&securityId=AsdBb6CyOv7RG-b1TjaaxuwO57CzNsSWjAjmFULTuWQMC66Gp0eYnFVgRXwB-BgVpH93lAsrk-XDs7yIPs2c-OXnpIj5bffQ2w20m49hnb90LJWZdw~~&sessionId=
H5 web 前端,成都·武侯区·新会展中心,10-15K·13薪,"3-5年,本科",前端开发WEB开发JavaScriptCSSHTMLHTML5,成都田田科技有限...,,,职位诱惑： 餐补、周末双休、下午茶 职位描述 岗位描述： 1、主要负责公司APP产品，小程序，h5相关设计和开发，确保产品具有一流的用户体验； 2、负责了解产品后端技术实现，提供对应的前端解决方案，并配合后端工程师完成数据接口的开发和调试； 3、负责前端架构在各业务线的落地实施，并结合各产品线实际情况； 4、负责解决网站产品在不同浏览器及不同版本下的兼容问题； 5、负责网站产品性能和代码优化的实施； 职位要求： 1、有uniapp实际项目开发工作经验3年以上； 2、js基础扎实，具有组件化，模块化开发等实际经验； 3、熟练使用vue、JavaScript、HTML5、CSS3等WEB开发技术； 4、熟练使用git/svn、ElementUI、vue全家桶等WEB开发技术； 5、能独立完成app打包上架等相关工作； 6、对产品需求有敏感认知、对原型设计和ui设计有一定的审美意识、对研发中业务有更好的理解与创新能力、能把控整个产品各个环节优先考虑。,有限责任公司（自然人投资或控股）,成都武侯区雄川金融中心1栋1606,https://www.zhipin.com/job_detail/7f6619aa23ff97861n1-2N-1FFJQ.html?lid=1yaOWkaUKpP.search.5&securityId=BFKlJgev6N6eN-R13tS4Epyf6kBf7JlwYCn4XsdLP_tAjDqUmudvCfd4jKJYiyt5h0sDqPRvq9pAxbETBaRjVzWOdY5afazziVEbaMA1_HtWDIha8A~~&sessionId=
前端,桂林,10-11K,"经验不限,学历不限",前端开发Node.js后端开发JavaScriptHTMLCSS,优贡科技,广西优贡智能网络有限公司作为桂林极具影响力的开发类科技团队，积累了丰富的开发经验，专注于品质化高端网站构建，企业品牌在网站中的整体树立，网络互动的体验，以及在手机等移动端的优质呈现。 我们专业提供一站式服务，从网站品牌规划、交互设计、视觉设计、动效创意，到程序开发、运营维护。在网络信息的海洋中， 为你构建更具吸引力和品牌感的标杆型网站。  我们的业务范围 APP开发、网站开发、公众号开发以及代运营、互联网产品运营方案、小程序开发、企业办公系统以及管理系统开发、互联网代运营推广服务、系统维护、广告设计、电商系统、智慧医疗、智慧校园、物联网建设。  我们的宣传介绍视频 http://www.iqiyi.com/w_19ruq4tdet.html,,1、本科以上学历，计算机或相关专业，2年以上Web端产品开发经验，具有规范化、标准化的文档和代码编写习惯； 2、HTML、CSS、JavaScript基础扎实，熟悉HTTP协议，了解TCP/IP的基本工作原理，熟悉各种Web标准规范，熟悉HTML5和CSS3等前端开发技术； 3、精通W3C标准的网站构建，熟悉php、Javascript、OOP及主流JS框架，有框架开发经验者优先考虑； 4、了解 Node.js、PHP、Java、等后端语言中至少一种； 5、熟悉Web性能优化； 6、具备主流第三方服务(云服务，支付服务，社交接口等)对接调试经验者优先； 7、具有移动端web应用开发经验者优先；具有微信公众号应用开发经验者优先； 8、具有良好的沟通能力和团队合作能力，充满责任感,有限责任公司（自然人独资）,桂林七星区桂林国家大学科技园4栋4楼405,https://www.zhipin.com/job_detail/b490f79580314ae50XJ83di1ElE~.html?lid=1yaOWkaUKpP.search.6&securityId=aEDBvV4XLPYhl-q1dOiu0LgrXcN2kzrS5oXnaCM9t65YTKKNs2FvV_4tWvSdwxZH6VMOkGVxY7jIs9mqaUTfg1VfUJe9LQX0Yv49nAAw2Ev5Znka&sessionId=
前端,深圳·南山区·深圳湾,15-30K,"3-5年,本科",前端开发经验HTMLVUE,腾宇一号,腾宇一号总部位于深圳湾1号，致力于让不分体量、地域的企业及个体，都能通过数字化技术驱动生意，实现商业的可持续增长，成为全球客户的合作伙伴。  目前公司计划为上万中小微企业主，提供一站式运营平台，包括数字化客户关系管理、销售管理、品牌管理、人才管理等方面服务。  对于用户而言，则可以避免自主开发软件、购买硬件等前期投资以及复杂的维护管理成本和问题。客户无需拥有自己的软件，即可在平台上完成企业所有数据的储存、管理、维护、沉淀和分析，从而创造更高的商业价值，完成业务的规模化有效增长。,带薪年假，员工旅游，节日福利，零食下午茶，五险一金，定期体检,1、熟练掌握Vue前端框架，熟悉框架原理，能熟练搭建前端脚手架 2、熟练使用ElementUI、MintUI等优秀组件库，掌握响应式布局的常用技巧 3、熟练掌握H5、微信公众号、小程序前端开发，较丰富的移动端开发经验 4、熟悉微信授权、支付等前端的相关开发 5、熟练使用Git等进行源代码版本管理 6、三年以上前端研发工作经验,有限责任公司,深圳南山区T7写字楼(深圳湾1号·湾汇南区)T72101,https://www.zhipin.com/job_detail/7865ed1eeeb25b511nxy3927E1JQ.html?lid=1yaOWkaUKpP.search.7&securityId=dCFcckRs2LsNr-717GbKQx6WFuikIMzf7fiViKqiONoODd1OnmYaN6ZzkUj_sOVbBI4kAPfOZzDQ5xwjBdZV9LiUc-bXxmZhJxFJY2MDFlv8p0G6UV1lwsMaz9g1C4chhEtjIlmJAUC9Zb5yYunkMtI~&sessionId=
前端,武汉·洪山区·花山,10-14K,"3-5年,本科",Vue,中电金信,中电金信，是中国电子旗下成员企业，通过持续研发创新，参与国家重大工程，依托行业场景，打造全栈全域解决方案，提供领先的咨询、软件产品及开发、质量安全保障及运营服务，为金融及重点行业数字化转型及安全发展提供强大动能，并以中国数字化转型最佳实践服务全球。我们推崇开放包容的文化。在中电金信，你将和同样拥有热情和梦想的优秀队友一起合作、交流和学习，稳扎稳打不断提升，和团队一起助力国家重大工程项目。我们为你提供清晰的职业路径和不设限的发展机会，你将通过不同类型的项目不断成长，获得前所未有的荣耀感和使命感，和我们一起去创造数字时代的美好未来。,定期体检，五险一金，补充医疗保险，节日福利,1、精通Html5、CSS3、JS、BOM等前端相关知识体系，对JavaScript有深刻理解，熟悉ES5、ES6的特性； 2、熟悉前端框架Vue，对原理有一定理解;对产品的跨平台性、兼容性、灵活性有一定理解 ； 3、熟悉Web前端组件化、模块化开发模式和前端构建等； 4、熟悉前端UI框架Element UI、Mint UI等； 5、熟练使用 Jsp技术开发前端web页面；,有限责任公司（法人独资）,武汉洪山区武汉软件新城A8号楼2,https://www.zhipin.com/job_detail/4d88a912602c0e0f1Xx53dm6GVpQ.html?lid=1yaOWkaUKpP.search.8&securityId=8IEC4yjylVXCd-T1ltomVEmE6RxzQhAUZd7I3NihKDQ2DA_gz5kHq7OUHINRUUIJaP6DC5Ln3-wlPBrDyZ2ydhRz1WF4OlhgRtREryujBfKNUIqjiDLC&sessionId=
